,question,ques_id,reference_answer,student_answer,result,grade
1051,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",It was deposited because it begins to settle to the bottom because the channel is slowing its current.,irrelevant,1
1052,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is deposited where I indicated because the river has brought the clay in the lake.,irrelevant,1
1053,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.","It is deposited because the water, river is taking it away with it.",irrelevant,1
1054,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay goes the farthest because it has the least particles.,correct,4
1055,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is deposited where I indicated it because it is heaviest so it will not go as far.,contradictory,2
1056,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is lighter so it is carried farther.,correct,4
1057,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is there because it has lighter and smaller particles which makes it float to the top.,correct,4
1058,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",Because clay is the lightest.,partially_correct_incomplete,3
1059,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is deposited there because the clay is the lightest and everything else is heavier so it sinks.,correct,4
1060,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",It is deposited there because it is lighter than sand and pebbles.,correct,4
1061,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",Very near to the mouth of the river.,contradictory,2
1062,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is very light so it can be carried farther than the sand and pebbles.,correct,4
1063,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.","The clay is deposited there, because the clay has the least amount of mass so it will go farther.",correct,4
1064,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is deposited where I indicated because the clay has the lesser mass so it is can be carried the farthest.,partially_correct_incomplete,3
1065,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",It was deposited there because it has a lesser mass and therefore is carried farther than all of the other earth materials.,correct,4
1066,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is where I indicated it because it is the one that gets pushed out the farthest.,partially_correct_incomplete,3
1067,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",Clay is lighter than sand or pebbles so it would be easier for water to carry it farther.,correct,4
1068,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is deposited where I indicated because it is the lightest.,correct,4
1069,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay deposit is farther because of its light weight.,partially_correct_incomplete,3
1070,"Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?",LF_33b,"The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.",The clay is indicated where I put it because clay is soft and lines are soft too.,irrelevant,1
1071,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,The river dries as it gets to the mountains.,irrelevant,1
1072,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,It flows that way because you cannot make a river flow uphill.,partially_correct_incomplete,3
1073,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because it starts between a valley and mountains and goes the opposite direction.,irrelevant,1
1074,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because it flows down from the mountains.,partially_correct_incomplete,3
1075,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think the water flows that way because it is going from happy valley to the river.,contradictory,2
1076,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Why is that the water flows down away from the mountain.,correct,4
1077,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because it is big at beginning then slowly gets smaller and branches out.,irrelevant,1
1078,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because it goes happy valley then the river.,irrelevant,1
1079,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because it does not go into the mountain.,contradictory,2
1080,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,The river flows from biggest to smallest. That is why.,irrelevant,1
1081,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because rivers sometimes end in valleys.,partially_correct_incomplete,3
1082,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,The delta.,irrelevant,1
1083,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because the water flow to the basin which is the rose mountains.,contradictory,2
1084,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,It flows in that direction because the water is going high land to low land.,correct,4
1085,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,"Maybe because the mountains are that way, or there are cracks and the water goes through.",irrelevant,1
1086,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because the mountain is the highest peak and water flows downhill.,correct,4
1087,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think that because the water flows down from the mountain first.,correct,4
1088,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because there are little slots that take them that way.,irrelevant,1
1089,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think it flows that way because rivers usually flow from valleys into mountains.,contradictory,2
1090,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think the water flows in that direction because the river is still trying to find the easiest route.,irrelevant,1
1091,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because the earth's gravitational pull.,partially_correct_incomplete,3
1092,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because the river leads to an open delta.,irrelevant,1
1093,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,It flows in that direction because the mountain usually carries the water down the side of the mountain.,partially_correct_incomplete,3
1094,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think the water flows in that direction because water cannot flow uphill.,partially_correct_incomplete,3
1095,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Rivers usually flow through valley. It grow weaker at the mountain because it cannot go uphill.,contradictory,2
1096,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,There are other little streams at that end that was formed by water.,irrelevant,1
1097,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Rivers cannot flow up mountain and valleys cannot be on mountain so it is flowing towards happy valley.,correct,4
1098,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,"I think that way, because the water will flow down the mountain, not up it.",partially_correct_incomplete,3
1099,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,All the streams flow together forming one bigger river.,irrelevant,1
1100,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think this because the stream is getting wider as it goes on.,irrelevant,1
1101,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,Because that is downhill.,partially_correct_incomplete,3
1102,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think it flows there because the river eroded the valley and the water would be flowing down the valley.,partially_correct_incomplete,3
1103,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,The river gets the water from the mountain and takes it to happy valley.,partially_correct_incomplete,3
1104,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think the water flows in the direction because that is where the crack is.,irrelevant,1
1105,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think flows in that direction because it starts small and it gets bigger.,irrelevant,1
1106,Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?,LF_34b,Water will always flow downhill (mountain to valley).,I think the water flows in that direction because water cannot flow up a mountain.,partially_correct_incomplete,3
1107,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It depends on if it has a slope or no slope.,irrelevant,1
1108,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,A flood will make the creek overflow faster and will make more damage.,correct,4
1109,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It flows faster and carries lots of birdie.,partially_correct_incomplete,3
1110,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,With normal water flow there is not as much water than a flood.,partially_correct_incomplete,3
1111,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The flood water rises and goes really fast picking up sand and dirt.,correct,4
1112,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,Water flows with a lot more force normal water goes a lot less fast.,contradictory,2
1113,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,They both create erosion.,irrelevant,1
1114,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,"During a flood the creek's volume will increase greatly, the water will run faster, and there will be mudslides, compared to normal water flow, which is constant and steady, and erodes less.",correct,4
1115,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,"It will flow fast and crazy, but with a normal one it floods slow and calm.",contradictory,2
1116,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water flow in a creek during a flood is different from normal water flow because the water during a flood would flow more rapidly than the normal flow.,partially_correct_incomplete,3
1117,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The difference between a flooded creek and a normal creek is water level and water pressure.,correct,4
1118,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,"During a flood, the water flow is faster and heavier.",partially_correct_incomplete,3
1119,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water goes faster and the water gets higher and it start to overflow.,correct,4
1120,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water flows quickly during floods and also the water is high and normal water flows pretty calm and is not usually as high as water is during floods.,correct,4
1121,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water in a chart is much higher during a flood and it goes faster.,correct,4
1122,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water rises and starts getting wavy and out of hand.,correct,4
1123,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,In a flood it would spread farther.,partially_correct_incomplete,3
1124,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,In a flood the water flows faster than in normal water level.,correct,4
1125,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,A creek usually flows slowly and floods usually flow quickly.,partially_correct_incomplete,3
1126,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It flows faster because of the water current pushing the other one.,partially_correct_incomplete,3
1127,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It will flow faster and might swerve off track.,partially_correct_incomplete,3
1128,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The writer in the flood goes faster and more water comes out at once.,correct,4
1129,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water in the creek during a flood is more capped than a normal molten. During a flood the water runs through more quickly and picks up earth materials in deposition first and takes them further. Also erosion happen more quickly.,partially_correct_incomplete,3
1130,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water would flow much faster and rise above the marshes. During a normal day the water would not be moving very fast and if would not be over the marshes.,correct,4
1131,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,When there is a flood the water flow is much faster. It is also stronger.,partially_correct_incomplete,3
1132,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It flows faster.,partially_correct_incomplete,3
1133,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water flows a lot faster during a flood compared to the speed flowing during a normal flow.,partially_correct_incomplete,3
1134,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It overflows in a creek and a lake on river.,partially_correct_incomplete,3
1135,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,In a flood the water would be moving stronger and faster than usual.,partially_correct_incomplete,3
1136,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,Flood water has a great velocity and force.,partially_correct_incomplete,3
1137,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water overlaps the area around the creek during a flood.,partially_correct_incomplete,3
1138,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water goes out of its channel. The water speeds up.,correct,4
1139,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water in the creek during a flood will flow much harder and faster causing more and more erosion compared to water flow without creek.,partially_correct_incomplete,3
1140,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,It is compared to different speed a flow patterns.,irrelevant,1
1141,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water flows in a faster range than normal because there is more water.,correct,4
1142,How does the water flow in a creek during a flood compared to normal water flow?,LF_18a,During a flood there is more water in the creek and the water flows faster.,The water flow in a creek during a flood compared to normal water flow is the same.,contradictory,2
1143,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,The minutes and seconds of when the events happened.,partially_correct_incomplete,3
1144,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,What time everything happened.,partially_correct_incomplete,3
1145,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,Whether it is slope or not.,irrelevant,1
1146,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,That how much is the land that moved.,partially_correct_incomplete,3
1147,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,The information I got from the stream table but not from the stream tables are when earth materials slump and hole under the water source.,correct,4
1148,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,What the who form.,irrelevant,1
1149,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,More info of the experiment.,irrelevant,1
1150,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,When the event happens and time between them.,partially_correct_incomplete,3
1151,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,On the stream table logs show when each event happened on the map show where each events looks like.,partially_correct_incomplete,3
1152,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You can get information and time of how fast where and how.,partially_correct_incomplete,3
1153,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,Clay sand pebbles.,partially_correct_incomplete,3
1154,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,What time something happened.,partially_correct_incomplete,3
1155,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,"In a log it tells how is the canyons, deltas, erosions are happening at times. And it shows what the important times are there.",correct,4
1156,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,On the stream table log I got the times of everything.,partially_correct_incomplete,3
1157,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,When important events happened.,partially_correct_incomplete,3
1158,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You get from a stream table log is a log that tells main events in a certain time and not from a stream table map.,partially_correct_incomplete,3
1159,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You get the time in which things happened.,partially_correct_incomplete,3
1160,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You get what time an important event happened.,partially_correct_incomplete,3
1161,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You can see when all the important happened.,partially_correct_incomplete,3
1162,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You get a chart telling you what happened during the time periods.,partially_correct_incomplete,3
1163,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You get to see how long it took.,partially_correct_incomplete,3
1164,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,They explain it in words instead of using pictures.,irrelevant,1
1165,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,The time the erosion and deposition happens.,correct,4
1166,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,You can see what time the events occurred.,partially_correct_incomplete,3
1167,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,The information I get from the stream table logs that I do not get from the maps is how long it took for it to form.,irrelevant,1
1168,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,Elapsed time.,partially_correct_incomplete,3
1169,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,The information that you get from stream table logs rather from stream table maps is a log showing you the events of how the slope started from beginning to end.,partially_correct_incomplete,3
1170,"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?",LF_28a2,You can see how much time is taken for the earth materials to move.,What you get from the logs are the times.,partially_correct_incomplete,3
